Date,Adj Close,Close,High,Low,Open,Volume,Return,Log_Return,Volatility_20,SMA_20,SMA_50,Momentum_20,Volume_Change,Drawdown
2023-03-29,17080.69921875,17080.69921875,17126.150390625,16940.599609375,16977.30078125,345900,0.007609856589321451,0.0075810476927372725,0.12481801039582593,17218.93759765625,17571.2319921875,-0.012901679100981944,0.4484924623115578,-0.09205585548172757
2023-03-31,17359.75,17359.75,17381.599609375,17204.650390625,17210.349609375,263900,0.016337198944623932,0.016205182818433635,0.1349359356664308,17214.380078125,17557.3609765625,-0.005223248576558759,-0.23706273489447816,-0.07722259136212628
2023-04-03,17398.05078125,17398.05078125,17428.05078125,17312.75,17427.94921875,230200,0.002206297973761151,0.002203867672376198,0.13246661924733616,17218.18759765625,17542.015,0.004396191463277077,-0.12769988632057594,-0.0751866694352159
2023-04-05,17557.05078125,17557.05078125,17570.55078125,17402.69921875,17422.30078125,248300,0.009138954817361267,0.00909744726853034,0.12419582307109565,17216.32265625,17530.9990234375,-0.002119932191476104,0.07862728062554303,-0.06673484219269099
2023-04-06,17599.150390625,17599.150390625,17638.69921875,17502.849609375,17533.849609375,242700,0.002397874785437182,0.002395004471214228,0.12203777651527685,17210.70771484375,17522.4290234375,-0.006340465240197046,-0.022553362867498983,-0.06449698920265778
2023-04-10,17624.05078125,17624.05078125,17694.099609375,17597.94921875,17634.900390625,254800,0.0014148632219350699,0.0014138632460749291,0.12178974444329156,17204.190234375,17512.5390234375,-0.007341819859139287,0.049855789039967124,-0.06317338039867104
2023-04-11,17722.30078125,17722.30078125,17748.75,17655.150390625,17704.80078125,304300,0.005574768321964241,0.005559286811614234,0.11869179669570712,17210.82529296875,17504.6190234375,0.007544297472483308,0.19427001569858704,-0.057950789036544825
2023-04-12,17812.400390625,17812.400390625,17825.75,17717.25,17759.55078125,232800,0.005083967961446945,0.005071088231309614,0.11301782443341181,17230.80029296875,17503.028046875,0.022942760312066657,-0.2349654945777193,-0.05316144102990028
2023-04-13,17828.0,17828.0,17842.150390625,17729.650390625,17807.30078125,285800,0.0008757724412713497,0.0008753891763391581,0.09576577959451536,17264.48525390625,17507.5010546875,0.0392729046401219,0.2276632302405499,-0.0523322259136213
2023-04-17,17706.849609375,17706.849609375,17863.0,17574.05078125,17863.0,357400,-0.006795512150830185,-0.00681870678285114,0.09615325604405564,17297.6626953125,17508.6590625,0.0389331172782561,0.2505248425472357,-0.05877211378737546
2023-04-18,17660.150390625,17660.150390625,17766.599609375,17610.19921875,17766.599609375,258900,-0.0026373533282438855,-0.0026408372714739102,0.09500581821131848,17332.0626953125,17508.6190625,0.040536996442126494,-0.2756015668718522,-0.06125446428571424
2023-04-19,17618.75,17618.75,17666.150390625,17579.849609375,17653.349609375,281500,-0.002344283016240789,-0.0023470351496987078,0.09617564441882182,17363.72021484375,17508.668046875,0.03727571620583481,0.08729239088451135,-0.06345514950166109
2023-04-20,17624.44921875,17624.44921875,17684.44921875,17584.349609375,17638.599609375,215100,0.0003234746363958152,0.00032342232975522987,0.09453133720609665,17389.94013671875,17508.9490234375,0.030666484223251356,-0.23587921847246895,-0.06315220099667773
2023-04-21,17624.05078125,17624.05078125,17663.19921875,17553.94921875,17639.75,230200,-2.260708945023282e-05,-2.260734499433094e-05,0.08987355396398296,17421.72265625,17504.3490234375,0.037416730004537824,0.07019990701999079,-0.06317338039867104
2023-04-24,17743.400390625,17743.400390625,17754.5,17612.5,17707.55078125,255700,0.006771973756565242,0.006749146939408538,0.08969718632170966,17453.51767578125,17503.9250390625,0.03717085434020162,0.11077324066029548,-0.05682921511627903
2023-04-25,17769.25,17769.25,17807.44921875,17716.849609375,17761.55078125,297400,0.0014568576938982503,0.0014557975062981768,0.08965896025971909,17484.38515625,17504.8800390625,0.03599307338051205,0.16308173640985535,-0.05545514950166108
2023-04-26,17813.599609375,17813.599609375,17827.75,17711.19921875,17767.30078125,233000,0.0024958627615121465,0.002492753268886545,0.08667557373157167,17521.2201171875,17503.718046875,0.04314010165184534,-0.21654337592468054,-0.053097695182724225
2023-04-27,17915.05078125,17915.05078125,17931.599609375,17797.900390625,17813.099609375,241400,0.005695152810193838,0.005678996739265909,0.07919396622958143,17569.7201171875,17504.150078125,0.057243853236091935,0.036051502145922676,-0.047704941860465144
2023-04-28,18065.0,18065.0,18089.150390625,17885.30078125,17950.400390625,290300,0.008370013603697934,0.008335179280697748,0.08157893132501101,17623.68515625,17508.320078125,0.0635417339816422,0.2025683512841756,-0.03973421926910303
2023-05-02,18147.650390625,18147.650390625,18180.25,18101.75,18124.80078125,265200,0.004575166931912511,0.004564732669242972,0.07945399007108193,17683.48271484375,17515.855078125,0.07055051864961004,-0.08646228039958659,-0.0353408430232558
2023-05-03,18089.849609375,18089.849609375,18116.349609375,18042.400390625,18113.80078125,226200,-0.00318502836487633,-0.003190111363585117,0.08113339605868872,17733.940234375,17519.055078125,0.059081327860233346,-0.1470588235294118,-0.038413309800664486
2023-05-04,18255.80078125,18255.80078125,18267.44921875,18066.69921875,18081.0,226600,0.009173717607303677,0.009131894646700034,0.06863660657266084,17778.7427734375,17523.8541015625,0.05161657173922429,0.0017683465959328348,-0.029591985049833847
2023-05-05,18069.0,18069.0,18216.94921875,18055.44921875,18117.30078125,239700,-0.010232406865540389,-0.010285117822267788,0.08233962003846855,17812.290234375,17524.517109375,0.03856462009371109,0.05781112091791707,-0.03952159468438543
2023-05-08,18264.400390625,18264.400390625,18286.94921875,18100.30078125,18120.599609375,228400,0.010814123118324304,0.010756068652657526,0.08444818375744116,17847.65771484375,17530.9211328125,0.04028863493009949,-0.04714226115978304,-0.02913486295681067
2023-05-09,18265.94921875,18265.94921875,18344.19921875,18229.650390625,18303.400390625,245400,8.480038171931881e-05,8.479678637020549e-05,0.08469355808283227,17880.99765625,17539.348125,0.03788812603591363,0.07443082311733806,-0.02905253322259138
2023-05-10,18315.099609375,18315.099609375,18326.75,18211.94921875,18313.599609375,220500,0.0026908205008338015,0.0026872067245805376,0.084725318062853,17915.55009765625,17549.1161328125,0.039210555887650766,-0.10146699266503667,-0.026439887873754175
2023-05-11,18297.0,18297.0,18389.69921875,18270.400390625,18357.80078125,248900,-0.0009882342854272697,-0.0009887229108728535,0.08418450534697487,17944.28505859375,17563.9701171875,0.0324280253361926,0.12879818594104298,-0.02740199335548177
2023-05-12,18314.80078125,18314.80078125,18342.75,18194.55078125,18273.75,241700,0.0009728797753729701,0.0009724068345624825,0.08319160269602018,17969.405078125,17580.0411328125,0.028205091936369442,-0.0289272800321414,-0.026455772425249213
