Date,Close,Actual,Future_Return,Prediction,HOLD_Probability,BUY_Probability,SELL_Probability,Regime
2025-02-06,23603.349609375,0,-0.0018387386257991967,0,0.42090377,0.22917067,0.34992555,1
2025-02-07,23559.94921875,2,-0.007570033692307909,0,0.4216893,0.31130406,0.26700667,2
2025-02-10,23381.599609375,2,-0.013249684936046169,0,0.44398317,0.40173003,0.15428685,1
2025-02-11,23071.80078125,0,-0.0011507892904301098,2,0.25582004,0.30831802,0.43586192,2
2025-02-12,23045.25,0,-0.0006009745771905495,0,0.37824062,0.3283997,0.2933597,1
2025-02-13,23031.400390625,0,-0.004435266153706374,0,0.5013243,0.21250696,0.28616878,2
2025-02-14,22929.25,0,0.0013192755977626813,1,0.31950164,0.3706838,0.30981463,0
2025-02-17,22959.5,0,-0.0006184463402948426,0,0.50919455,0.2702874,0.22051801,2
2025-02-18,22945.30078125,0,-0.0005404326900405598,0,0.52856696,0.22208658,0.24934644,2
2025-02-19,22932.900390625,0,-0.0008612081186238907,0,0.6968742,0.1683944,0.13473137,2
2025-02-20,22913.150390625,2,-0.005117148798882476,0,0.67496556,0.13292794,0.19210653,2
2025-02-21,22795.900390625,2,-0.010640105330068539,1,0.34724745,0.4261082,0.22664438,2
2025-02-24,22553.349609375,0,-0.00025711604818956513,1,0.3442152,0.36124668,0.2945381,2
2025-02-25,22547.55078125,0,-0.00011087678764998277,0,0.5377844,0.24803212,0.21418348,2
2025-02-27,22545.05078125,2,-0.018644959666695105,0,0.6320192,0.19742428,0.17055649,2
2025-02-28,22124.69921875,0,-0.00024400049223838316,1,0.31220487,0.6544121,0.033383068,2
2025-03-03,22119.30078125,0,-0.0016569416451024388,0,0.61989856,0.17525855,0.20484291,2
2025-03-04,22082.650390625,1,0.011531695069225467,0,0.7442325,0.10618738,0.14958017,2
2025-03-05,22337.30078125,1,0.009284847776867,0,0.4472731,0.38076323,0.1719637,2
2025-03-06,22544.69921875,0,0.00034601398645017767,1,0.23452474,0.69461507,0.07086019,2
2025-03-07,22552.5,0,-0.004088203913091726,0,0.54998964,0.3641972,0.08581318,2
2025-03-10,22460.30078125,0,0.0016740474556060647,0,0.62187225,0.24186769,0.13626003,2
2025-03-11,22497.900390625,0,-0.0012179087892316698,0,0.594322,0.20103128,0.20464666,2
2025-03-12,22470.5,0,-0.003262089461738671,0,0.6942627,0.13117123,0.17456612,2
2025-03-13,22397.19921875,0,0.004980568336268254,0,0.75743103,0.14625981,0.09630918,2
2025-03-17,22508.75,1,0.01446329899483545,0,0.776033,0.14302772,0.08093923,2
2025-03-18,22834.30078125,0,0.0032100316461272094,0,0.67310065,0.123651385,0.20324796,2
2025-03-19,22907.599609375,1,0.012356195589090069,0,0.5783529,0.2016077,0.22003932,2
2025-03-20,23190.650390625,1,0.0068885519512889015,0,0.5718846,0.28311995,0.14499548,2
2025-03-21,23350.400390625,1,0.013188177230298859,1,0.22735795,0.65604967,0.116592415,2
2025-03-24,23658.349609375,0,0.00043539728764163677,1,0.43310243,0.47436193,0.09253559,2
2025-03-25,23668.650390625,2,-0.007681079328545448,0,0.6011532,0.22945109,0.1693957,2
2025-03-26,23486.849609375,0,0.004474827877002596,2,0.37718654,0.18235232,0.4404611,2
2025-03-27,23591.94921875,0,-0.0030773044101545244,0,0.59022284,0.30681145,0.102965705,2
2025-03-28,23519.349609375,2,-0.015036571865236992,0,0.6995197,0.108888425,0.19159184,2
2025-04-01,23165.69921875,1,0.0071938424586863725,0,0.4424881,0.2516844,0.30582756,2
2025-04-02,23332.349609375,0,-0.0035251486188494496,0,0.47455564,0.1639327,0.36151162,2
2025-04-03,23250.099609375,2,-0.014866619775066536,0,0.53526837,0.19243018,0.2723015,2
2025-04-04,22904.44921875,2,-0.03243254628305536,1,0.17739785,0.57726496,0.24533719,2
2025-04-07,22161.599609375,1,0.016887318902814252,0,0.5581159,0.4006299,0.041254174,0
2025-04-08,22535.849609375,2,-0.006065856008070525,1,0.3482522,0.53579724,0.1159505,0
2025-04-09,22399.150390625,1,0.019170387409190415,0,0.49146214,0.2968806,0.21165726,0
2025-04-11,22828.55078125,1,0.02190239778210845,1,0.2636155,0.4845639,0.25182062,0
2025-04-15,23328.55078125,0,0.004657316201027051,1,0.2040765,0.5517445,0.24417895,0
2025-04-16,23437.19921875,1,0.017683476937954135,0,0.448174,0.39432904,0.15749691,0
