Date,Close,Actual,Future_Return,Prediction,HOLD_Probability,BUY_Probability,SELL_Probability,Regime,Volatility_20,Desired_Position,Position,Market_Return,Strategy_Return,Trade,Transaction_Cost,Strategy_Return_After_Cost,Strategy_Equity,Buy_Hold_Equity
2025-03-24,23658.349609375,0,0.0004353972876416,1,0.43310243,0.47436193,0.09253559,2,0.1316189795371091,0.0,0.5,0.0004353972876416,0.0002176986438208,0.5,0.0005,-0.0002823013561792,100355.80349220343,101669.60371395122
2025-03-25,23668.650390625,2,-0.0076810793285454,0,0.6011532,0.22945109,0.1693957,2,0.1293065738040738,0.0,0.0,-0.0076810793285454,-0.0,0.5,0.0005,-0.0005,100305.62559045732,100888.67142252257
2025-03-26,23486.849609375,0,0.0044748278770025,2,0.37718654,0.18235232,0.4404611,2,0.1258425513704379,0.0,0.0,0.0044748278770025,0.0,0.0,0.0,0.0,100305.62559045732,101340.13086187783
2025-03-27,23591.94921875,0,-0.0030773044101545,0,0.59022284,0.30681145,0.102965705,2,0.1258216197150457,0.0,0.0,-0.0030773044101545,-0.0,0.0,0.0,-0.0,100305.62559045732,101028.27643025095
2025-03-28,23519.349609375,2,-0.0150365718652369,0,0.6995197,0.108888425,0.19159184,2,0.1270018944831505,0.0,0.0,-0.0150365718652369,-0.0,0.0,0.0,-0.0,100305.62559045732,99509.15749128646
2025-04-01,23165.69921875,1,0.0071938424586863,0,0.4424881,0.2516844,0.30582756,2,0.1194190451261889,0.0,0.0,0.0071938424586863,0.0,0.0,0.0,0.0,100305.62559045732,100225.01069347539
2025-04-02,23332.349609375,0,-0.0035251486188494,0,0.47455564,0.1639327,0.36151162,2,0.1202213124187048,0.0,0.0,-0.0035251486188494,-0.0,0.0,0.0,-0.0,100305.62559045732,99871.7026354551
2025-04-03,23250.099609375,2,-0.0148666197750665,0,0.53526837,0.19243018,0.2723015,2,0.1212946786831714,0.0,0.0,-0.0148666197750665,-0.0,0.0,0.0,-0.0,100305.62559045732,98386.94800608528
2025-04-04,22904.44921875,2,-0.0324325462830553,1,0.17739785,0.57726496,0.24533719,2,0.1314818453228555,0.25,0.0,-0.0324325462830553,-0.0,0.0,0.0,-0.0,100305.62559045732,95196.00876122937
2025-04-07,22161.599609375,1,0.0168873189028142,0,0.5581159,0.4006299,0.041254174,0,0.1754826584962032,0.0,0.25,0.0168873189028142,0.00422182972570355,0.25,0.00025,0.00397182972570355,100704.0224558328,96803.61411945535
2025-04-08,22535.849609375,2,-0.0060658560080705,1,0.3482522,0.53579724,0.1159505,0,0.1862968573508049,0.0,0.0,-0.0060658560080705,-0.0,0.25,0.00025,-0.00025,100678.84645021884,96216.4173351459
